식당ID,식당명,영업시간,주소,전화번호,종류
0,한샘식당,정보 없음,충청북도 충주시 단월동 336-21,043-852-7579,한식
1,명산가든,오전 11:00~오후 8:30,충청북도 충주시 살미면 세성리 624-6,043-851-7208,한식
2,마중,오전 11:30~오후 9:00,충청북도 충주시 문화동 지곡16길 6 1층,031-663-0447,한식
3,충주식당,오전 11:00~오후 9:00,충청북도 충주시 문화동 1247,043-847-1599,한식
4,비원한정식,오전 11:00~오후 9:00,충청북도 충주시 교현동 257-21,043-843-9100,한식
5,다담뜰 한식 뷔페,오전 11:00~오후 9:00,충청북도 충주시 호암.직동 84-2,043-843-5577,한식
6,금수레,오전 11:00~오후 8:00,충청북도 충주시 봉방동 168-5,043-856-4569,한식
7,문화당,오전 10:00~오후 10:00,충청북도 충주시 연수동 1320,043-845-6274,한식
8,한성감로정,오전 9:00~오후 10:00,충청북도 충주시 칠금동 403-1,043-845-6539,한식
9,구미식당,오전 11:00~오후 9:00,충청북도 충주시 봉방동 235-3,043-845-2307,한식
10,불광식당,오전 11:00~오후 9:00,충청북도 충주시 문화동 1076,043-842-7902,한식
11,반찬나라한식부페,정보 없음,봉방동 2-12번지 1층 충주시 충청북도 KR,정보 없음,한식
12,옥이식당,오전 11:00~오후 8:30,충청북도 충주시 용산동 192,043-848-5109,한식
13,꼬끼오식당,오후 12:00~9:30,충청북도 충주시 대소원면 검단리 350-116,043-853-9754,한식
14,터미널한식뷔페,정보 없음,충청북도 충주시 칠금동 849,043-848-9904,한식
15,한정식당,오전 10:00~오후 9:00,충청북도 충주시 교현동 785,043-843-1081,한식
16,관아골식당,오전 10:00~오후 9:00,충청북도 충주시 성내동 455,043-843-1340,한식
17,부명식당,오전 11:00~오후 9:00,충청북도 충주시 지현동 582,043-844-2759,한식
18,소담한식,정보 없음,충청북도 충주시 봉방동 406-2,043-854-3689,한식
19,영주 식당,오전 11:54~오후 8:39,충청북도 충주시 대소원면 만정리 105-4,043-853-3859,한식
20,수영식당,오후 12:00~10:00,충청북도 충주시 봉방동 상방12길 11,043-844-5781,한식
21,솔밭식당,오전 11:00~오후 9:00,충청북도 충주시 교현동 411-1,043-847-1757,한식
22,두메식당,오전 10:00~오후 9:00,충청북도 충주시 성내동 209,043-842-8455,한식
23,가정식한식뷔페,오전 11:00~오후 9:00,충청북도 충주시 봉방동,043-851-7707,한식
24,자린고비식당,정보 없음,충청북도 충주시 봉방동 194-6,043-856-5989,한식
25,은혜식당,오전 12:00~오후 10:00,충청북도 충주시 지현동 91,043-847-0170,한식
26,마당식당,오전 10:00~오후 10:00,충청북도 충주시 연수동 연원10길 7 KR,010-2340-2511,한식
27,문화원식당,오전 10:00~오후 9:00,충청북도 충주시 성내동 205,043-854-8869,한식
28,햇님식당,정보 없음,충청북도 충주시 지현동 495,043-844-3074,한식
29,남한강식당,오전 10:00~오후 9:00,충청북도 충주시 칠금동 673,043-848-2444,한식
